scene,title,visual_type,source,sha256
14,Perfectionism converts worth into performance,unique cinematic photograph,scene_14.png,2587ac521ae65c9bf28387ee09cc03d6ee3d8f3f0dd5eb9d28394d0e53c00a07
15,Comparison edits the evidence,unique cinematic photograph,scene_15.png,f3f98986c91fe26af8ebbd3584b96813b12a12a8b0431df697daca536aa2928b
16,Not every guilty feeling proves responsibility,unique cinematic photograph,scene_16.png,38e8abeadcf51fa2beb6610d4fb213c35f1561405bf72687def9d2862c7fd649
17,Blame can protect against shame,unique cinematic photograph,scene_17.png,bf080e370b1f06e8a8cad9709bc1676ecc543438c8efe8e39d18437c0e34e04c
18,Checkpoint 3 · Accountability without collapse,unique cinematic photograph,scene_18.png,36eb922e93f5b1d5ea2f4e0f574d9bc9bfa709d16f7a7b35f18db64ef2894021
19,Self-compassion is not self-excusing,unique cinematic photograph,scene_19.png,81068d4e611b23f3c9ea5a06b1641454bb15c5740080f6e623ce3051d536a555
20,Use the Compassionate Accountability Statement,unique cinematic photograph,scene_20.png,5ffd780b567abb2cdf6d8e745d9d317ae720fa9305195b3a9fd6d951b2097846
21,Self-validation can interrupt reassurance dependence,unique cinematic photograph,scene_21.png,bbc52c3d7a7d172c279bf8acb949bf09ed877cbd2ea5926a218bc7ccf26e8160
22,Empathy reduces isolation without erasing impact,unique cinematic photograph,scene_22.png,f9116af1fb2cc129203003c6baed9ee934d26df6190991b6a25dd25ebc535566
23,Secrecy gives shame room to expand,unique cinematic photograph,scene_23.png,13c53fe0622262514d8a2c4dcf32935815693c57f2df0709d5da03aba2326d6a
24,Checkpoint 4 · Empathy or rescue?,unique cinematic photograph,scene_24.png,48d5c04babe3ea79775bf51cd325c9ef04eaf83575946b94e69a6000671ebbe7
25,"Apology is an action, not a demand for relief",unique cinematic photograph,scene_25.png,18f8e794ca18be47f561373619c0b21fd3270c9613a37c1c8ad76d48cc14cc29
26,Maya's case: the missed deadline,unique cinematic photograph,scene_26.png,5b5328b438e36a84d27a9b37b40b90574fcce761acd53e4f23ba9b25f3d1899c
27,Maya's critic map,unique cinematic photograph,scene_27.png,397e05eedbb706f59542605287bdf2859d5da6c5c314ff9608fbc4bd53123211
28,Maya's responsibility plan,unique cinematic photograph,scene_28.png,5f719ab53cd7a6603c9384ddd807abbbb3cbb7ebf6dd49cf7b3a5857bf365831
29,Maya practices identity-accurate language,unique cinematic photograph,scene_29.png,8c896c4956d8448445ff240fc4c6beb30b49d47e05e9dec2f6d20d2174843bf7
30,Maya reviews broader evidence,unique cinematic photograph,scene_30.png,1ce34fee264e64aebc40ff0af58ecf1248da9a018c6505bbc4516423bea4a654
31,Checkpoint 5 · Maya's next step,unique cinematic photograph,scene_31.png,9d779c7e2b978036cf45d4195e27b71ed38cbc79559db33f6a5d86dcb12e4f01
32,Receiving another person's disappointment,unique cinematic photograph,scene_32.png,8a685d561e9c14d1e1716603031dba7ea84a955a88f574d3f57d4d668014e2df
33,Forgiving oneself is not forgetting,unique cinematic photograph,scene_33.png,f5eb1009ac4e51935da43c7e76025c60519074eb5ad059d052a4af6faa02d41e
34,The coach must notice shame in the room,unique cinematic photograph,scene_34.png,95530625df610edb6f1219365ee434d0eb1d18d49086e558d62824c27c491b66
35,Use boundaries when shame is projected,unique cinematic photograph,scene_35.png,8ed86270a6e993b97fc05393fd01ad86b9ace751a2328813bc8b22399bd5d7ca
36,Referral red flags,unique cinematic photograph,scene_36.png,73db1063f0701def7bdee810d0580612eb8ac86e0bee011a399be4e85ab04ef4
37,Checkpoint 6 · Scope and safety,unique cinematic photograph,scene_37.png,04c35bb93b196824761d51076022f444fe20758aa02afdf49b24e6209ecba52d
38,The Compassionate Responsibility Loop,unique cinematic photograph,scene_38.png,e959f9c195528e6dd3fdc8d2205493023095ddbbe1925f45265d0225fada38bd
39,Final reflection,unique cinematic photograph,scene_39.png,2df99bcb7bb2eabdc8c1fae869d4febc7f1822441b9272d02d28eba91b976e24
40,Lesson 7 recap,unique cinematic photograph,scene_40.png,936b0e70b6e2d7433e8487f3481c1feb1e916e4cb83d5c5307627bad7f5a8338
