scene,title,visual_type,source,sha256
19,Relief now. Cost later.,unique cinematic photograph,scene_19.png,5177e79017ba748efc90fb07968c3187d5f74e5f9baa2a6b83337ad1c9f9692d
20,Checkpoint 3 · Map before advising,unique cinematic photograph,scene_20.png,3d305e05a3db021d5f390409d0a78f9f1b61f0938b222ec0f7822ab775cec2ec
21,The regulation ladder,unique cinematic photograph,scene_21.png,bfb3998adf8df50b17179c2dcf6535fdc00219ab675251ccd5098c8934b60ab7
22,Self-validation + reality checking,unique cinematic photograph,scene_22.png,ff7d529792338be08f8e11df80eaa56182dfabf8972aad17a8e278f4f2dce07d
23,Tolerating uncertainty without abandoning yourself,unique cinematic photograph,scene_23.png,1e1c1983d1c604b4f39bf9e3ae7911d63084d3b5ec2f68956182a52f40bb73de
24,A communication formula,unique cinematic photograph,scene_24.png,4f8fa3a5d05a661d90b120a6a48dc35538ba03cc34a0d3094aece6677408aabe
25,Request or control?,unique cinematic photograph,scene_25.png,7cd2bf0aad9f389ced41143b859ebf51bcefe757e1d1e72bc7cc0b3eb6570334
26,"Checkpoint 4 · Request, control, or boundary?",unique cinematic photograph,scene_26.png,5eb0fbadae7ff1e1f24d6d7adb5db7f2b4feac0749a8f1970282cda2c5908294
27,Vulnerability practice for avoidant protection,unique cinematic photograph,scene_27.png,d82c6e78e386276f01562ce18a4eb7dd3dc6f2a2673c92c90022666eae79b1b0
28,When a woman feels emotionally abandoned,unique cinematic photograph,scene_28.png,3673f53e8f273146dd94a4bfb7875948f76069f9913d1af7239650b98aad3782
29,Temporary disconnection or emotional abandonment?,unique cinematic photograph,scene_29.png,3881a5185e4c3577a8afdd383e5cf9e7c3096a41e3a4a8bb787966240d391d04
30,Standards protect against self-abandonment,unique cinematic photograph,scene_30.png,82193b55f5b36a2d41a23d541dd34cbc87fa002bb0dbe55ec72f2a6c66ced6f7
31,Scenario: Maya and the unanswered message,unique cinematic photograph,scene_31.png,33cf259ab89b80b8d569474ae77fd5c23f5a3313eb449c099c4df1bdeeefd40e
32,Coach the next five minutes,unique cinematic photograph,scene_32.png,3d061383e5230785fdc530a91e1aa4be68a52914d5ba1895fbb5939d0fd75652
33,Maya's complete intervention plan,unique cinematic photograph,scene_33.png,deed425220bb7919933fc9975bbd58ceedd796f6333ecbe5d1ad1850f21a93cc
34,Checkpoint 5 · Coach Maya,unique cinematic photograph,scene_34.png,c72c2d803967de9009a3c648f798ce6c8950e8a6d7040e6b6b4d633fb3dddb44
35,Repairing trust requires behavior,unique cinematic photograph,scene_35.png,bf4c16f332c4ea04c5644fa041bef9d978755f273420a64566385fb544c9e32b
36,Build support beyond one relationship,unique cinematic photograph,scene_36.png,a26b9ea347ebf685c3fe584b50f6e081371036ce38fc3ef1ab1c5e730607c9a5
37,When coaching must stop or expand,unique cinematic photograph,scene_37.png,3ef1a1b4c71e898115f81d6236d6f37c0672be85ed05a811ed14b9d40351a0d5
38,Checkpoint 6 · Safety before attachment language,unique cinematic photograph,scene_38.png,ab64cf1aeebe9b6ad427e95e7817cd3c9f1c8030d08f358c1fc407df49230ea0
39,Your practice plan,unique cinematic photograph,scene_39.png,911646af9325805d6af9f4c3c68e71b58341ba1555bec85186098e8bfc338143
40,The Roux Life standard,unique cinematic photograph,scene_40.png,d95f0bf5b328d565bfc23d2b1b658675cb913d3ed51c87f00c6c655db290518e
