scene,title,visual_type,source,sha256
31,Checkpoint 5 · Tasha's recovery,unique cinematic photograph,scene_31.png,0229666635b25b0038ba465cd7ef95f412ff0a38cbd261daad49d1298e4ddb0c
32,Review recovery through multiple signals,unique cinematic photograph,scene_32.png,db1caef7fb5086e098ca7eda35f162f13b33deb31d39e1b61faae9ce215d5132
33,Setbacks can produce useful information,unique cinematic photograph,scene_33.png,0072050c2a543c8d203e6b526d663b6842a5fc98f59fd18a0291c8e4b934166d
34,Prepare for the next difficult wave,unique cinematic photograph,scene_34.png,7d5b4b03605a52043cf2cb83c1f471f79a5de52843de1f3fd86c775f04a649ee
35,The coach should not become the recovery manager,unique cinematic photograph,scene_35.png,954a71c7f5a422a89ccb4ae9f4ceff79bb3b5839993267b434125405a3e63845
36,Referral red flags,unique cinematic photograph,scene_36.png,ddebbf3f078529fb3a8b5bbec5d2fa17874e0b0a3164f9b896169351d048a51e
37,Checkpoint 6 · Scope and referral,unique cinematic photograph,scene_37.png,8486093591885fb8862acb87ce76a187a35d814193f68f6040d7042fe5cb4d05
38,The Resilient Recovery Loop,unique cinematic photograph,scene_38.png,372d1f3c8da8d7ffbe37579c1fd4e259ed02516e26fc00dd4d5c6cf33ac16c8d
39,Final reflection,unique cinematic photograph,scene_39.png,aee0d546961468759a158cd682a32bc12c092abcc562dba07d03a7bb78865cb2
40,Lesson 8 recap,unique cinematic photograph,scene_40.png,b0572a4f1b831168dc60b4c9a85f059023c71508963125697fc153de28a3571f
