scene,title,visual_type,source,sha256
15,Ask clearly enough to receive an answer,unique cinematic photograph,scene_15.png,182e3b1e62256d99d0c2e2cb20da82f681966b95ecdade0b822e925421c9ff71
16,Boundaries define the client's participation,unique cinematic photograph,scene_16.png,de97a1065a1c595df938869deb654738864e32f65a0b722baac990f606c29f96
17,Checkpoint 3 · Request or demand?,unique cinematic photograph,scene_17.png,8e04d07db02283e63dbcde59d8c91cce96b30f9bc7e76f1fe7c77c4658bf54e5
18,Asking for support is a courage practice,unique cinematic photograph,scene_18.png,1a8a3cebb689a381da1b7ec621bdb129296ef7365654394727762a311758d302
19,Being seen before certainty arrives,unique cinematic photograph,scene_19.png,64526410e523b63cf6a33c0084dbedf300cc8d9499175052e2f42a54b5927d09
20,Tolerating uncertainty requires an anchor,unique cinematic photograph,scene_20.png,ae6795a3c23090f5b09212c7b116c598f7bd7fa2d1d040f18e72c1a581bdfb12
21,Self-validation before external response,unique cinematic photograph,scene_21.png,54df92eaee7dfde3fa812eae17b1e57ff043f248cf732c4a39997d19d4fa83ec
22,Checkpoint 4 · Support uncertainty,unique cinematic photograph,scene_22.png,ba54a3cfc7e3c017994d20c7d15e88eda1bdb2a6c7ee66694e9c1a77c4ccba31
23,Prepare without scripting humanity out,unique cinematic photograph,scene_23.png,67c103932cf2eb9936383a978b1c33c63b36cd51a719c239d99e294adab25621
24,Elena's case: the presenting concern,unique cinematic photograph,scene_24.png,67081ea94d1d23412ec48625d8193946fdc511f6c2b5ecee4be19ee7e017b7f6
25,Elena's courage map,unique cinematic photograph,scene_25.png,eeb35ccaba39a88763cff44b7543b0097ba3560fc07484c9259e8357faf43bf1
26,Elena's communication plan,unique cinematic photograph,scene_26.png,0cac8e0d163d22d4fa0bc7c6ce7c69a6c7ee52fedf047bf48bccf948df1678c1
27,Elena's possible responses,unique cinematic photograph,scene_27.png,b8b4388d34a96b914925b858e692543c7aff4bc76ed17f160752ae996740e8d9
28,Review Elena's courage by evidence,unique cinematic photograph,scene_28.png,cf301d7ac0d9f7c5aa716dd16c8329a896180fc789d982356e678d6d5af8fe32
29,Checkpoint 5 · Evaluate courage,unique cinematic photograph,scene_29.png,8500a405ba0d8a4443a43bf7d908431e195c0b521e96d3a41ce3d8f904df9117
30,Use a post-courage recovery plan,unique cinematic photograph,scene_30.png,830add78c1ea9295991c1b5eb30882741653b6fb55d4978551b16c1f1616c64f
31,Repair is a form of courage,unique cinematic photograph,scene_31.png,f811330c134c4e9804b6b2686c732c3edae743b688ae33f021cb073de88c98f1
32,Receiving feedback takes courage,unique cinematic photograph,scene_32.png,2fc6ab8c15d8ad2530bdb90bb4453a26f74bc62b2ba802bc03343a5266b4b6b2
33,Courage in relationships includes mutuality,unique cinematic photograph,scene_33.png,893f6b6fc7fd50c9b53d434d34c40074720a03f7569998cf8201cd5994fa82bb
34,Power and culture shape the risk,unique cinematic photograph,scene_34.png,404f637139e17a7597b04aee50fd944bb0921af2f0f0bb1086a2c6c99a3cb669
35,Safety outranks a courage assignment,unique cinematic photograph,scene_35.png,5753a8fe0d42862f7ff944a075b22f7f675e4ea1002c7bf3faf07fd8bf29003e
36,Checkpoint 6 · Safety before action,unique cinematic photograph,scene_36.png,5cd4d4e8ff9363d0c517970b475260c39d301041885bef792a074e2408223c3d
37,Coach courage without becoming the hero,unique cinematic photograph,scene_37.png,066babd6226b1ade0e7f6093c85ef2513d836559f50cc0d89dd21c5efb7fade5
38,The Courage Practice Loop,unique cinematic photograph,scene_38.png,434e5dafea0bb5fc5d94dc095d941adef3ca9f3b327b71fd5c31d9169d8edde1
39,Final reflection,unique cinematic photograph,scene_39.png,081505e4684fc08862bef464e411d4a0eca7bfbd5192e0270263fe051777af10
40,Lesson 6 recap,unique cinematic photograph,scene_40.png,5144f51514a985affdc1d6993a77b660b9a6c754df69ae81b0f3dc298817fe4b
